INSTNM,CITY,STABBR,ZIP,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL,COSTT4_A,RET_FT4,DEBT_MDN,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,AccredAgency
Metro Beauty Academy,Allentown,PA,18106,3,40.5683,-75.5549,NULL,NULL,NULL,NULL,8027,206,0.699,0.0534,0.2039,0.0049,0,0.0049,National Accrediting Commission of Career Arts and Sciences
Barone Beauty Academy,Williamsport,PA,17701,3,41.2445,-76.9935,NULL,NULL,NULL,NULL,8028,56,0.9107,0.0714,0,0.0179,0,0,National Accrediting Commission of Career Arts and Sciences
Academy for Careers and Technology,Mullins,SC,29574-6009,1,34.1877,-79.3388,NULL,NULL,NULL,NULL,NULL,50,0.22,0.78,0,0,0,0,NULL
Aiken School of Cosmetology,Aiken,SC,29801,3,33.5597,-81.717,NULL,NULL,NULL,NULL,PrivacySuppressed,33,0.6061,0.3636,0.0303,0,0,0,Council on Occupational Education
Love Beauty School Inc,Manchester,TN,37355,3,35.4888,-86.0935,NULL,NULL,NULL,NULL,5690,53,0.8868,0.0943,0.0189,0,0,0,Council on Occupational Education
Professional Career Training Institute,Houston,TX,77090,3,29.9814,-95.4272,NULL,NULL,NULL,NULL,4750,114,0.1053,0.7719,0.0877,0.0351,0,0,Council on Occupational Education
Cannon Institute of Higher Learning,Dallas,TX,75247,3,32.8287,-96.8728,NULL,NULL,NULL,NULL,9055,11,0.1818,0.5455,0.2727,0,0,0,Accrediting Commission of Career Schools and Colleges
Cardiotech Ultrasound School,Houston,TX,77099,3,29.6755,-95.5929,NULL,NULL,NULL,NULL,PrivacySuppressed,61,0.2131,0.4426,0.0984,0.2131,0,0.0164,Accrediting Bureau of Health Education Schools
DuVall's School of Cosmetology,Bedford,TX,76021,3,32.8507,-97.1684,NULL,NULL,NULL,NULL,7916,91,0.6923,0.0769,0.1319,0.033,0.011,0,National Accrediting Commission of Career Arts and Sciences
Advanced Beauty College,Irving,TX,75038,3,32.8324,-96.9766,NULL,NULL,NULL,NULL,NULL,60,0,0.0333,0.45,0.5167,0,0,National Accrediting Commission of Career Arts and Sciences
Texas Beauty College,Haltom City,TX,76117,3,32.8154,-97.2645,NULL,NULL,NULL,NULL,NULL,89,0.0337,0.0112,0.1573,0.7865,0,0,National Accrediting Commission of Career Arts and Sciences
Avenue Five Institute,Austin,TX,78757,3,30.3686,-97.7276,NULL,NULL,NULL,NULL,7917,241,0.5685,0.0622,0.1867,0.0207,0,0.0041,National Accrediting Commission of Career Arts and Sciences
The Salon Professional Academy-Lewisville,Lewisville,TX,75067,3,33.0464,-97.0082,NULL,NULL,NULL,NULL,7917,80,0.7625,0.1125,0.1,0.025,0,0,National Accrediting Commission of Career Arts and Sciences
Renaissance Academie,Provo,UT,84604,3,40.2506,-111.6626,NULL,NULL,NULL,NULL,11495,70,0.8571,0,0.0857,0,0,0,National Accrediting Commission of Career Arts and Sciences
Bethel College,Hampton,VA,23666,2,37.0401,-76.4087,1,NULL,18021,0.5,PrivacySuppressed,54,0.3704,0.3889,0.2037,0,0,0,Association for Biblical Higher Education Commission on Accreditation
Institute of Advanced Medical Esthetics,Richmond,VA,23294-4701,3,37.6273,-77.552,NULL,NULL,NULL,NULL,PrivacySuppressed,1,0,0,0,0,0,0,National Accrediting Commission of Career Arts and Sciences
Gary Manuel Aveda Institute,Seattle,WA,98122,3,47.6143,-122.3194,0.8347,NULL,NULL,NULL,10556,287,0.6829,0.0627,0.0592,0.0383,0.007,0.007,National Accrediting Commission of Career Arts and Sciences
Northwest School of Wooden Boat Building,Port Hadlock,WA,98339,2,48.034,-122.7528,NULL,NULL,24525,NULL,PrivacySuppressed,52,0.9038,0.0192,0.0192,0.0385,0.0192,0,Accrediting Commission of Career Schools and Colleges
Bainbridge Graduate Institute,Seattle,WA,98104-2617,2,47.6278,-122.519,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Accrediting Council for Independent Colleges and Schools
The Salon Professional Academy-Onalaska,Onalaska,WI,54650,3,43.8738,-91.1973,NULL,NULL,NULL,NULL,12000,87,0.8851,0.046,0.0345,0.023,0.0115,0,Accrediting Commission of Career Schools and Colleges
Regency Beauty Institute-North Tucson,Tucson,AZ,85705,3,32.2867,-110.9623,NULL,NULL,NULL,NULL,9500,86,0.1395,0.0465,0.2093,0,0,0,NULL
Kaplan College-Chula Vista,Chula Vista,CA,91910,3,32.6291,-117.0887,NULL,NULL,NULL,NULL,9500,299,0.0736,0.0769,0.7358,0.0635,0,0.0334,NULL
InterCoast Colleges-Roseville,Roseville,CA,92678,3,38.7238,-121.2923,NULL,NULL,NULL,NULL,11086,3,0.3333,0,0.6667,0,0,0,NULL
West Coast University-Orange County,Anaheim,CA,92802,3,33.8111,-117.9115,0.5263,NULL,43784,0.9091,26500,1528,0.2592,0.0255,0.1525,0.4359,0.0033,0.0255,NULL
West Coast University-Ontario,Ontario,CA,91761,3,34.0657,-117.5908,0.4902,NULL,41496,0.75,26500,1103,0.2956,0.0426,0.097,0.35,0.01,0.0354,NULL
Dade Medical College-Homestead,Homestead,FL,33030,3,25.4733,-80.4773,NULL,NULL,NULL,NULL,19221,309,0.0777,0.1618,0.7443,0.0065,0.0032,0,NULL
Virginia College-Augusta,Augusta,GA,30909,3,33.4492,-82.0546,NULL,NULL,21509,0.7167,12380.5,902,0.1463,0.7761,0.0155,0.0211,0.0022,0,NULL
Midwest Technical Institute-East Peoria,East Peoria,IL,61611,3,40.6454,-89.5465,NULL,NULL,NULL,NULL,9500,849,0.7008,0.2497,0.0247,0.0024,0.0047,0,Accrediting Commission of Career Schools and Colleges
Paul Mitchell the School-Chicago,Chicago,IL,60607,3,41.8667,-87.6468,NULL,NULL,NULL,NULL,9833,305,0.4262,0.377,0.1705,0.0098,0.0131,0,NULL
Kaplan College-Indianapolis,Indianapolis,IN,46227,3,39.7044,-86.149,NULL,NULL,NULL,NULL,9218,478,0.5941,0.2908,0.0607,0.0314,0.0084,0,NULL
Regency Beauty Institute-Evansville,Evansville,IN,47715,3,37.9811,-87.4888,NULL,NULL,NULL,NULL,9500,65,0.3231,0.1538,0.0154,0,0,0,NULL
Regency Beauty Institute-Wichita,Wichita,KS,67207,3,37.679,-97.2389,NULL,NULL,NULL,NULL,9500,15,0.4,0.2,0.0667,0,0,0,NULL
Regency Beauty Institute-Shreveport,Shreveport,LA,71105,3,32.4377,-93.7155,NULL,NULL,NULL,NULL,9500,107,0.3364,0.3084,0.0093,0,0.028,0,NULL
Regency Beauty Institute-Springfield,Springfield,MO,65804,3,37.1595,-93.2708,NULL,NULL,NULL,NULL,9500,72,0.5694,0.0139,0.0417,0,0.0139,0,NULL
Regency Beauty Institute-Canton,Canton,OH,44720,3,40.8619,-81.4324,NULL,NULL,NULL,NULL,9500,138,0.3696,0.1159,0.0072,0,0,0,NULL
Regency Beauty Institute-Spartanburg,Spartanburg,SC,29301,3,34.9259,-81.9947,NULL,NULL,NULL,NULL,9500,50,0.22,0.16,0,0.02,0,0,NULL
Regency Beauty Institute-Chattanooga,Chattanooga,TN,37421,3,35.0393,-85.1505,NULL,NULL,NULL,NULL,9500,58,0.3793,0.3276,0,0,0,0,NULL
Regency Beauty Institute-Mesquite,Mesquite,TX,75150,3,32.7957,-96.6272,NULL,NULL,NULL,NULL,9500,77,0.2078,0.1429,0.1558,0,0,0,NULL
Kaplan Career Institute-Dearborn,Detroit,MI,48228,3,42.329,-83.2197,NULL,NULL,NULL,NULL,9500,36,0.1667,0.8056,0.0278,0,0,0,NULL
Dorsey Business Schools-Waterford Pontiac,Pontiac,MI,48341,3,42.6445,-83.3261,NULL,NULL,28588,NULL,9163,229,0.3843,0.4541,0.0873,0.0131,0.0087,0,NULL
Regina's College of Beauty-High Point,High Point,NC,27262,3,35.9548,-80.0145,NULL,NULL,NULL,NULL,8500,59,0,1,0,0,0,0,NULL
Miller-Motte College-Fayetteville,Fayetteville,NC,28311,3,35.1117,-78.8794,NULL,NULL,25952,NULL,10935.5,734,0.1444,0.6335,0.0722,0.0095,0.0245,0,NULL
Drake College of Business-Newark,Newark,NJ,7102,3,40.7349,-74.1724,NULL,NULL,NULL,NULL,9500,1335,0.0127,0.7416,0.2345,0,0,0,NULL
European Massage Therapy School-Las Vegas,Las Vegas,NV,89117,3,36.159,-115.2858,NULL,NULL,NULL,NULL,4786,96,0.25,0.0938,0.4479,0.1563,0,0.0521,NULL
Harrison College-Grove City,Grove City,OH,43123,3,39.8822,-83.0459,1,NULL,23678,NULL,12576,244,0.7418,0.1311,0.0205,0.0041,0,0,NULL
Miller-Motte Technical College-Columbus,Columbus,GA,31907,3,32.48,-84.9366,NULL,NULL,26044,NULL,9501,504,0.1627,0.7778,0.0357,0.004,0.004,0,NULL
National University College-Ponce,Ponce,PR,716,3,17.9804,-66.606,0.8379,NULL,13853,0.7,5500,1117,0,0,1,0,0,0,NULL
Fortis Institute-Grand Prairie,Grand Prairie,TX,75050,3,32.761,-97.0059,NULL,NULL,NULL,NULL,9500,304,0.1711,0.3684,0.4178,0.0132,0.0066,0,NULL
Paul Mitchell the School-St George,Washington,UT,84780,3,37.1289,-113.5191,NULL,NULL,NULL,NULL,9791,161,0.7764,0.0062,0.0994,0.0062,0.0248,0.0062,NULL
The Art Institute of Virginia Beach,Virginia Beach,VA,23462,3,36.8422,-76.1314,NULL,NULL,31586,0.5263,12161,663,0.4027,0.4057,0.1086,0.0256,0.0106,0.0151,NULL
Bryant & Stratton College-Bayshore,Glendale,WI,53217,3,43.1194,-87.9154,NULL,NULL,20711,NULL,10250,589,0.1766,0.7657,0.0306,0.0119,0.0017,0,NULL
Daymar College-Online,Louisville,KY,40245,3,38.2918,-85.5175,NULL,NULL,26771,NULL,13736.5,368,0.5516,0.1766,0.0489,0.0054,0.0027,0,NULL
Virginia College-Columbia,Columbia,SC,29223,3,34.0643,-80.9578,NULL,NULL,18947,NULL,12380.5,550,0.0782,0.6982,0.1509,0.0073,0.0018,0,NULL
Sanford-Brown College-Dearborn,Dearborn,MI,48126-2758,3,42.3327,-83.2088,NULL,NULL,NULL,NULL,9500,107,0.1308,0.1215,0,0,0,0,Accrediting Council for Independent Colleges and Schools
Sanford-Brown College-Grand Rapids,Grand Rapids,MI,49546,3,42.9155,-85.5681,NULL,NULL,NULL,NULL,9500,57,0.1228,0.0175,0.0175,0,0,0,Accrediting Council for Independent Colleges and Schools
Sanford-Brown College-Indianapolis,Indianapolis,IN,46268-3007,3,39.9153,-86.229,NULL,NULL,NULL,NULL,9500,36,0.0556,0.0833,0,0,0,0.0278,NULL
Sanford-Brown College-Hillside,Hillside,IL,60162,3,41.8629,-87.8972,NULL,NULL,NULL,NULL,9500,41,0.0732,0.0244,0.0244,0,0,0,NULL
Sanford-Brown College-Tinley Park,Tinley Park,IL,60487,3,41.5568,-87.824,NULL,NULL,NULL,NULL,9500,45,0.2222,0.5556,0.0444,0.0222,0,0,Accrediting Council for Independent Colleges and Schools
Sanford-Brown College-Phoenix,Phoenix,AZ,85021,3,33.5741,-112.1124,NULL,NULL,22863,NULL,9500,291,0.0275,0.0137,0.0172,0.0034,0.0103,0,NULL
Sanford-Brown Institute-Orlando,Orlando,FL,32809,3,28.4706,-81.4034,NULL,NULL,22272,NULL,9500,107,0.271,0.1682,0.3551,0,0,0.0093,NULL
Fortis College-Indianapolis,Indianapolis,IN,46268,3,39.9179,-86.2238,NULL,NULL,26213,NULL,12417,172,0.2907,0.6453,0.0058,0.0058,0.0058,0,Accrediting Commission of Career Schools and Colleges
Kaplan College-Arlington,Arlington,TX,76010,3,32.708,-97.0615,NULL,NULL,NULL,NULL,9103,416,0.1611,0.3702,0.4135,0.0192,0.0024,0.0024,NULL
Kaplan College-Charlotte,Charlotte,NC,28212,3,35.1779,-80.7514,NULL,NULL,NULL,NULL,8989.5,382,0.0995,0.7487,0.1126,0.0105,0.0079,0,NULL
Kaplan College-Jacksonville,Jacksonville,FL,32216,3,30.2887,-81.5818,NULL,NULL,NULL,NULL,9500,278,0.3129,0.5576,0.0827,0.0216,0.0036,0,NULL
Globe University-Madison East,Madison,WI,53718,3,43.1458,-89.2972,NULL,NULL,30686,0.5,16768,261,0.7969,0.0766,0.0421,0.0115,0.0115,0,NULL
Minnesota School of Business-Lakeville,Lakeville,MN,55044,3,44.692,-93.2869,NULL,NULL,26927,0.6364,21905,197,0.7817,0.0203,0.0457,0.0102,0.0203,0,NULL
Globe University–Green Bay,Green Bay,WI,54311,3,44.456,-87.9979,NULL,NULL,28450,0,16768,235,0.8085,0.0043,0.0213,0.0128,0.034,0,NULL
Globe University–Madison West,Middleton,WI,53562,3,43.0882,-89.5275,NULL,NULL,30146,0,16768,211,0.6967,0.1232,0.0806,0.0095,0,0,NULL
Globe University–Wausau,Rothschild,WI,54474,3,44.8598,-89.6362,NULL,NULL,30285,NULL,16768,181,0.8895,0.0166,0.0276,0.0166,0.0276,0,NULL
Dade Medical College-Hollywood,Hollywood,FL,33024,3,26.0245,-80.2248,NULL,NULL,NULL,NULL,19221,303,0.0561,0.6271,0.2739,0.0066,0.0165,0.0033,NULL
Empire Beauty School-E Memphis,Memphis,TN,38117,3,35.1156,-89.9027,NULL,NULL,NULL,NULL,6837,169,0.0651,0.8876,0.0296,0,0.0059,0,NULL
Empire Beauty School-Nashville,Brentwood,TN,37027,3,35.9673,-86.8147,NULL,NULL,NULL,NULL,6392.5,65,0.7077,0.1692,0.0923,0.0154,0,0,NULL
Empire Beauty School-Jackson,Jackson,TN,38301,3,35.6368,-88.8479,NULL,NULL,NULL,NULL,6569,94,0.1702,0.8298,0,0,0,0,NULL
Empire Beauty School-Springfield,Springfield,PA,19064,3,39.9371,-75.3511,NULL,NULL,NULL,NULL,5781,197,0.2234,0.6142,0.0355,0.0102,0.0051,0,NULL
Empire Beauty School-Paramus,Paramus,NJ,7652,3,40.9135,-74.0456,NULL,NULL,NULL,NULL,6569,130,0.4231,0.1769,0.3615,0.0077,0,0,NULL
Empire Beauty School-Speedway,Speedway,IN,46224,3,39.7972,-86.2604,NULL,NULL,NULL,NULL,7000,170,0.1941,0.7353,0.0471,0,0.0118,0,NULL
Empire Beauty School-Morrow,Morrow,GA,30260,3,33.5652,-84.3263,NULL,NULL,NULL,NULL,6569,255,0.0588,0.8824,0.0431,0.0039,0,0,NULL
Strayer University-Arkansas,Little Rock,AR,72211,3,34.7484,-92.3949,NULL,NULL,NULL,NULL,12500,105,0.2857,0.6095,0.0095,0,0,0.0095,NULL
Strayer University-Georgia,Atlanta,GA,30341,3,33.8748,-84.2755,NULL,NULL,32554,0.4286,12500,3253,0.1116,0.7467,0.0421,0.0055,0.0028,0.0018,NULL
Strayer University-Louisiana,Metairie,LA,70005,3,30.0002,-90.1241,NULL,NULL,NULL,NULL,12500,132,0.197,0.6288,0.053,0.0227,0.0152,0,NULL
Strayer University-Mississippi,Jackson,MS,39206,3,32.3804,-90.1498,NULL,NULL,NULL,NULL,12500,156,0.0705,0.8526,0,0.0064,0.0064,0,NULL
Strayer University-South Carolina,Greenville,SC,29607,3,34.8266,-82.3699,NULL,NULL,32554,0.1667,12500,1219,0.2584,0.6333,0.032,0.0041,0.0074,0.0025,NULL
Strayer University-Texas,Austin,TX,78759,3,30.3716,-97.7407,NULL,NULL,32554,0,12500,954,0.2369,0.5136,0.1468,0.0136,0.0063,0.0031,NULL
The Art Institute of San Antonio,San Antonio,TX,78230,3,29.5334,-98.5652,NULL,NULL,31351,0.4795,12667,1115,0.2789,0.1238,0.5157,0.0081,0.0072,0.0099,NULL
Globe University-La Crosse,Onalaska,WI,54650,3,43.878,-91.1918,NULL,NULL,29929,0.6667,16768,237,0.8523,0.0084,0.0127,0.0295,0.0042,0.0042,NULL
The Hair Design School-S Memphis,Memphis,TN,38111,3,35.1096,-89.9459,NULL,NULL,NULL,NULL,7000,117,0.0171,0.8803,0,0,0.0085,0,NULL
The Hair Design School-Charlotte,Charlotte,NC,28213,3,35.2586,-80.7837,NULL,NULL,NULL,NULL,7392,134,0.0299,0.8582,0.0224,0,0,0,NULL
The Hair Design School-Durham,Durham,NC,27704,3,36.0681,-78.9072,NULL,NULL,NULL,NULL,7000,65,0.0462,0.8308,0,0,0.0154,0,NULL
The Hair Design School-E Greensboro,Greensboro,NC,27405,3,36.0873,-79.7595,NULL,NULL,NULL,NULL,6569,151,0.053,0.7219,0.0199,0.0066,0,0,NULL
The Hair Design School-Winston-Salem,Winston-Salem,NC,27106,3,36.1511,-80.2842,NULL,NULL,NULL,NULL,6569,121,0.2231,0.6612,0.0331,0,0,0,NULL
Empire Beauty School-West Palm,West Palm Beach,FL,33409,3,26.7067,-80.1071,NULL,NULL,NULL,NULL,5781,111,0.2523,0.4685,0.1892,0.018,0,0,NULL
Empire Beauty School-Pineville,Charlotte,NC,28226,3,35.0882,-80.866,NULL,NULL,NULL,NULL,6406,105,0.219,0.6762,0.0571,0.019,0,0,NULL
The Hair Design School-N Memphis,Memphis,TN,38128,3,35.2145,-89.9175,NULL,NULL,NULL,NULL,8100,61,0,0.918,0,0,0,0.0164,NULL
Broadview Entertainment Arts University,Salt Lake City,UT,84115,3,40.7178,-111.8843,NULL,NULL,28230,0.5,15625,145,0.7655,0.0276,0.0966,0.0276,0.0207,0.0207,NULL
Bryant & Stratton College-Hampton,Hampton,VA,23666,3,37.0439,-76.3927,NULL,NULL,20755,0.5,10250,641,0.1123,0.83,0.025,0,0.0016,0.0016,NULL
Paul Mitchell the School-Phoenix,Phoenix,AZ,85017,3,33.5239,-112.1329,NULL,NULL,NULL,NULL,10556,187,0.5294,0.0481,0.4064,0.0053,0,0.0053,National Accrediting Commission of Career Arts and Sciences
All Beauty College,Fort Mohave,AZ,86426-8326,3,35.0207,-114.5978,NULL,NULL,NULL,NULL,9500,75,0.6933,0.0133,0.24,0,0.0133,0,National Accrediting Commission of Career Arts and Sciences
Northern California Institute of Cosmetology Inc,San Leandro,CA,94577-2819,3,37.7307,-122.1604,NULL,NULL,NULL,NULL,4600,44,0,0.5227,0.3636,0.0682,0,0,National Accrediting Commission of Career Arts and Sciences
Golden State College of Court Reporting,Pleasanton,CA,94588-3677,3,37.7009,-121.9326,NULL,NULL,NULL,NULL,PrivacySuppressed,68,0.6765,0.0147,0.1912,0.0588,0,0.0294,Accrediting Council for Independent Colleges and Schools
Preferred College of Nursing-Los Angeles,Los Angeles,CA,90010,3,34.0617,-118.2984,NULL,NULL,NULL,NULL,16757,159,0.0377,0.2075,0.2642,0.4465,0,0,Accrediting Bureau of Health Education Schools
Trinity Vocational Center,Gardena,CA,90248,3,33.8583,-118.2965,NULL,NULL,NULL,NULL,15016,90,0.0333,0.2222,0.1222,0.6222,0,0,Accrediting Bureau of Health Education Schools
SICE Paul Mitchell Partner School,Modesto,CA,95350,3,37.683,-120.9942,NULL,NULL,NULL,NULL,9887,73,0.3151,0.0274,0.3699,0,0,0,National Accrediting Commission of Career Arts and Sciences
Cosmo Beauty Academy,Sacremanto,CA,95821-6800,3,38.5893,-121.5246,NULL,NULL,NULL,NULL,7111,64,0.375,0.0781,0.4531,0.0469,0,0,National Accrediting Commission of Career Arts and Sciences
Paul Mitchell the School-Fresno,Fresno,CA,93710,3,36.8095,-119.7814,NULL,NULL,NULL,NULL,10556,248,0.3589,0.0363,0.5282,0.0121,0.004,0,National Accrediting Commission of Career Arts and Sciences
Unitek College,Fremont,CA,94538,3,37.5095,-121.962,NULL,NULL,32958,NULL,9500,904,0.1283,0.0409,0.156,0.3097,0.0011,0.0199,Accrediting Commission of Career Schools and Colleges
Gurnick Academy of Medical Arts,San Mateo,CA,94403,3,37.5472,-122.3085,NULL,NULL,NULL,NULL,16850,843,0.2669,0.0902,0.2325,0.2764,0.0107,0.0439,Accrediting Bureau of Health Education Schools
Southern California University SOMA,Los Angeles,CA,90017,3,34.0552,-118.2696,NULL,NULL,NULL,NULL,PrivacySuppressed,48,0.0417,0,0,0.6667,0,0,Accreditation Commission for Acupuncture and Oriental Medicine
Paul Mitchell the School-East Bay,Pleasant Hill,CA,94523,3,37.9452,-122.0617,NULL,NULL,NULL,NULL,10556,259,0.4479,0.0811,0.2124,0.0463,0.0039,0.0154,National Accrediting Commission of Career Arts and Sciences
South University–Richmond,Glen Allen,VA,23060,3,37.6468,-77.5992,0.5135,NULL,28471,0.1333,9500,634,0.3391,0.5426,0.0536,0.0252,0.0063,0.0016,NULL
South University–Virginia Beach,Virginia Beach,VA,23452,3,36.8351,-76.1271,0.3421,NULL,28881,0.5263,9500,685,0.3197,0.4993,0.0861,0.0511,0.0088,0.0131,NULL
Aveda Institute-Denver,Denver,CO,80202,3,39.7454,-104.9925,NULL,NULL,NULL,NULL,12000,485,0.7216,0.0186,0.1691,0.0289,0.0144,0.0082,National Accrediting Commission of Career Arts and Sciences
Paul Mitchell the School-Colorado Springs,Colorado Springs,CO,80903,3,38.8326,-104.8274,NULL,NULL,NULL,NULL,9500,231,0.7056,0.0606,0.1472,0.0087,0.0043,0,National Accrediting Commission of Career Arts and Sciences
The Salon Professional Academy-Colorado Springs,Colorado Springs,CO,80918,3,38.8954,-104.7499,NULL,NULL,NULL,NULL,12000,86,0.6279,0.0349,0.1163,0.0349,0.0116,0,National Accrediting Commission of Career Arts and Sciences
Paul Mitchell the School-Delaware,Newark,DE,19702,3,39.6237,-75.6809,NULL,NULL,NULL,NULL,9833,129,0.5891,0.3488,0.0388,0.0078,0,0,National Accrediting Commission of Career Arts and Sciences
Future-Tech Institute,Miami,FL,33135-4142,3,25.7647,-80.2515,NULL,NULL,11223,NULL,NULL,35,0,0.0571,0.9429,0,0,0,Accrediting Commission of Career Schools and Colleges
Marchman Technical Education Center,New Port Richey,FL,34653,1,28.2712,-82.6909,NULL,NULL,NULL,NULL,NULL,161,0.7702,0.0435,0.087,0.0186,0.0186,0.0124,Council on Occupational Education
Eureka Institute of Health and Beauty,Miami,FL,33174,3,25.7684,-80.3807,NULL,NULL,NULL,NULL,PrivacySuppressed,75,0,0,1,0,0,0,Council on Occupational Education
The Salon Professional Academy-Ft Myers,North Fort Myers,FL,33903,3,26.6627,-81.8856,NULL,NULL,NULL,NULL,11574.5,36,0.7778,0.0556,0.0833,0,0,0.0278,National Accrediting Commission of Career Arts and Sciences
SOLEX College,Wheeling,IL,60090-3104,3,42.1398,-87.9076,NULL,NULL,NULL,NULL,PrivacySuppressed,84,0.1548,0.0357,0.0357,0.131,0,0.0238,Accrediting Council for Independent Colleges and Schools
Unity Cosmetology College,Pontiac,IL,61764,3,40.8787,-88.636,NULL,NULL,NULL,NULL,9500,77,0.9091,0.026,0.0519,0,0,0,National Accrediting Commission of Career Arts and Sciences
Universal Spa Training Academy,Downers Grove,IL,60515,3,41.7958,-87.9938,NULL,NULL,NULL,NULL,7917,58,0.6207,0.1724,0.1724,0.0345,0,0,National Accrediting Commission of Career Arts and Sciences
The Salon Professional Academy-Evansville,Evansville,IN,47715,3,37.9877,-87.4833,NULL,NULL,NULL,NULL,9833,105,0.9143,0.0571,0.0095,0,0,0,National Accrediting Commission of Career Arts and Sciences
Tri County Regional Vocational Technical High School,Franklin,MA,2038,1,42.0958,-71.4271,NULL,NULL,NULL,NULL,NULL,51,0.8235,0.0784,0.0196,0.0392,0.0392,0,Council on Occupational Education | New England Association of Schools and Colleges Commission on Technical and Career Institutions
Compass College of Cinematic Arts,Grand Rapids,MI,49503,2,42.976,-85.6823,0.9815,NULL,29928,0.8636,10697,80,0.8,0.0625,0.05,0.025,0,0,Accrediting Commission of Career Schools and Colleges
Nova Academy of Cosmetology,Rochester,MN,55906,3,44.04,-92.4617,NULL,NULL,NULL,NULL,9500,84,0.7976,0.0476,0.0714,0.0476,0,0,National Accrediting Commission of Career Arts and Sciences
Victory Trade School,Springfield,MO,65803,2,37.2293,-93.2921,NULL,NULL,15100,NULL,NULL,27,0.6667,0.1481,0.1852,0,0,0,NULL
Starting Points Inc,Jersey City,NJ,7306,2,40.7297,-74.0695,NULL,NULL,22147,NULL,5900,45,0.0889,0.5333,0.3778,0,0,0,Accrediting Council for Continuing Education and Training
The Lab-Paul Mitchell Partner School,Ewing,NJ,8628,3,40.2654,-74.8015,NULL,NULL,NULL,NULL,7667,138,0.529,0.2319,0.1087,0,0,0,National Accrediting Commission of Career Arts and Sciences
SAE Institute of Technology-New York,New York,NY,10011-4552,3,40.7495,-73.9881,NULL,NULL,NULL,NULL,5500,218,0.3716,0.1881,0.2202,0.0092,0.0046,0,Accrediting Commission of Career Schools and Colleges
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,Latham,NY,12110,3,42.7624,-73.7535,NULL,NULL,NULL,NULL,9881.5,27,0.7407,0.1111,0.037,0.037,0.037,0.037,Council on Occupational Education
The Artisan College of Cosmetology,Findlay,OH,45840,3,41.0523,-83.6181,NULL,NULL,NULL,NULL,10413,30,0.9,0,0.0333,0.0333,0,0,National Accrediting Commission of Career Arts and Sciences
Sage School of Massage,Bend,OR,97701,3,44.0676,-121.3009,NULL,NULL,NULL,NULL,7600,28,0.8571,0,0.0714,0.0357,0.0357,0,Commission on Massage Therapy Accreditation
Lawyer's Assistant School of Dallas,Dallas,TX,75206,3,32.8618,-96.7698,NULL,NULL,NULL,NULL,6333,48,0.125,0.5833,0.25,0,0,0,Accrediting Council for Independent Colleges and Schools
ABC Beauty Academy,Garland,TX,75042,3,32.9299,-96.6832,NULL,NULL,NULL,NULL,NULL,35,0.0286,0.0571,0.2571,0.6571,0,0,National Accrediting Commission of Career Arts and Sciences
Salon & Spa Institute,Brownsville,TX,78521,3,25.9513,-97.4973,NULL,NULL,NULL,NULL,8916,105,0.019,0,0.9714,0,0,0,National Accrediting Commission of Career Arts and Sciences
American Beauty Academy,Payson,UT,84651,3,40.0429,-111.7338,NULL,NULL,NULL,NULL,9000,32,0.9688,0,0,0,0.0313,0,National Accrediting Commission of Career Arts and Sciences
The Salon Professional Academy-Tacoma,Tacoma,WA,98409,3,47.2227,-122.4715,NULL,NULL,NULL,NULL,12000,152,0.7895,0.0395,0.0329,0.0197,0.0329,0,National Accrediting Commission of Career Arts and Sciences
Academy of Cosmetology,Richland,WA,99354-3404,3,46.2922,-119.2748,NULL,NULL,NULL,NULL,PrivacySuppressed,19,0.5789,0,0.3684,0.0526,0,0,National Accrediting Commission of Career Arts and Sciences
The Academy Waukesha,Waukesha,WI,53072,3,43.0429,-88.2588,NULL,NULL,NULL,NULL,12000,161,0.7143,0.0559,0.0621,0,0,0.0062,National Accrediting Commission of Career Arts and Sciences
ITT Technical Institute-Merrillville,Merrillville,IN,46410,3,41.4647,-87.3262,0.6167,NULL,25911,NULL,14656.5,357,0.409,0.4006,0.1176,0,0.0056,0,NULL
ITT Technical Institute-Tallahassee,Tallahassee,FL,32303,3,30.4766,-84.2974,0.5837,NULL,28894,NULL,14656.5,368,0.2446,0.663,0.0353,0.0027,0.0109,0,NULL
ITT Technical Institute-Salem,Salem,VA,24153,3,37.2649,-80.0217,0.7351,NULL,28613,NULL,14656.5,250,0.572,0.324,0.016,0.012,0.012,0,NULL
ITT Technical Institute-Akron,Akron,OH,44333,3,41.1349,-81.6245,0.6515,NULL,27428,NULL,14656.5,249,0.6667,0.2731,0.0161,0.0161,0,0,NULL
ITT Technical Institute-Cedar Rapids,Cedar Rapids,IA,52404,3,41.9413,-91.7144,NULL,NULL,27139,NULL,14656.5,37,0.7838,0.1081,0.1081,0,0,0,NULL
ITT Technical Institute-Corona,Corona,CA,92883,3,33.819,-117.5085,0.9814,NULL,26613,NULL,14656.5,479,0.3111,0.119,0.4008,0.0647,0.0104,0.0084,NULL
